nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Serangan Jantung,FALSE,"Gastritis, Kanker Payudara, Hipertensi","Aspirin, Nitrat",Gagal Jantung
Artritis Reumatoid,FALSE,Kanker Prostat,"NSAID, Metotreksat",Deformitas Sendi
Kanker Kolorektal,FALSE,Hepatitis B,"Operasi, Kemoterapi",Metastasis ke Liver
Migraine,TRUE,"Pneumonia, Gastritis","Sumatriptan, Parasetamol",Gangguan Tidur
Influenza,FALSE,"Hepatitis B, COVID-19, Pneumonia","Oseltamivir, Paracetamol",Pneumonia
Hipertensi,FALSE,"Anemia, Gagal Ginjal","Amlodipine, Captopril","Stroke, Serangan Jantung"
Hepatitis B,FALSE,"Cacar Air, Malaria, Demam Berdarah","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Demam Berdarah,FALSE,"Malaria, Campak","Rehidrasi, Paracetamol",Syok Dengue
Diabetes Mellitus,FALSE,"Gastritis, Hemofilia","Insulin, Metformin","Gagal Ginjal, Neuropati"
Malaria,TRUE,"Artritis Reumatoid, Bipolar, Kanker Kolorektal","Klorokuin, Artemisinin",Anemia Berat
Gastritis,FALSE,Hepatitis B,"Antasida, Omeprazole",Ulkus Lambung
Alzheimer,TRUE,"Serangan Jantung, Bronkitis, Alzheimer","Donepezil, Memantine",Demensia Berat
Kanker Kolorektal,FALSE,Migraine,"Operasi, Kemoterapi",Metastasis ke Liver
Migraine,FALSE,Cacar Air,"Sumatriptan, Parasetamol",Gangguan Tidur
Malaria,TRUE,"Anemia, Tuberkulosis","Klorokuin, Artemisinin",Anemia Berat
Kanker Paru-paru,FALSE,Hemofilia,"Kemoterapi, Radioterapi",Metastasis ke Otak
Bipolar,TRUE,"Gagal Ginjal, Epilepsi","Lithium, Antidepresan",Depresi Kronis
Hipertensi,TRUE,"Rubella, Alzheimer","Amlodipine, Captopril","Stroke, Serangan Jantung"
Kanker Paru-paru,TRUE,"Tifus, Demam Berdarah, Stroke","Kemoterapi, Radioterapi",Metastasis ke Otak
Influenza,FALSE,"Malaria, Diare Akut","Oseltamivir, Paracetamol",Pneumonia
Kanker Paru-paru,FALSE,"Influenza, Tuberkulosis, Parkinson","Kemoterapi, Radioterapi",Metastasis ke Otak
Gastritis,TRUE,"Stroke, Kanker Kolorektal","Antasida, Omeprazole",Ulkus Lambung
Hipertensi,FALSE,"Bipolar, Bronkitis, Gastritis","Amlodipine, Captopril","Stroke, Serangan Jantung"
Tuberkulosis,TRUE,Kanker Kolorektal,"Rifampisin, Isoniazid",Gagal Paru
Migraine,TRUE,"Anemia, Asma, Bronkitis","Sumatriptan, Parasetamol",Gangguan Tidur
Pneumonia,TRUE,"Osteoporosis, Hepatitis B","Azitromisin, Ceftriaxone",Sepsis
Tifus,FALSE,Diare Akut,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Pneumonia,TRUE,"Influenza, Diabetes Mellitus, Parkinson","Azitromisin, Ceftriaxone",Sepsis
Alzheimer,FALSE,Bipolar,"Donepezil, Memantine",Demensia Berat
Migraine,FALSE,"Malaria, Osteoporosis","Sumatriptan, Parasetamol",Gangguan Tidur
Tuberkulosis,FALSE,"Hepatitis C, Stroke, Diabetes Mellitus","Rifampisin, Isoniazid",Gagal Paru
Gastritis,FALSE,"Kanker Prostat, Parkinson, COVID-19","Antasida, Omeprazole",Ulkus Lambung
Tifus,TRUE,"Kanker Paru-paru, Pneumonia","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Stroke,TRUE,Bronkitis,"Antikoagulan, Rehabilitasi",Kelumpuhan
COVID-19,FALSE,"Pneumonia, Malaria, Anemia","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
COVID-19,FALSE,Hepatitis B,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Osteoporosis,TRUE,"Kanker Prostat, Gastritis, Campak","Kalsium, Vitamin D",Fraktur Tulang
Gagal Ginjal,FALSE,"COVID-19, Kanker Payudara","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Payudara,TRUE,Hepatitis C,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Bronkitis,FALSE,Tuberkulosis,"Dextromethorphan, Amoksisilin",Pneumonia
Hipertensi,FALSE,"Tuberkulosis, Influenza, Osteoporosis","Amlodipine, Captopril","Stroke, Serangan Jantung"
Hemofilia,FALSE,"Bipolar, Kanker Paru-paru, Asma",Transfusi Faktor VIII,Pendarahan Internal
COVID-19,TRUE,"Artritis Reumatoid, Gastritis","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Parkinson,TRUE,"Campak, Pneumonia, Stroke","Levodopa, Pramipexole",Gangguan Gerak Berat
Tifus,FALSE,Tifus,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Parkinson,TRUE,Anemia,"Levodopa, Pramipexole",Gangguan Gerak Berat
Parkinson,FALSE,COVID-19,"Levodopa, Pramipexole",Gangguan Gerak Berat
Kanker Payudara,TRUE,"Campak, Kanker Kolorektal","Kemoterapi, Mastektomi",Metastasis ke Tulang
Hemofilia,TRUE,"Hemofilia, Serangan Jantung",Transfusi Faktor VIII,Pendarahan Internal
Kanker Kolorektal,TRUE,Serangan Jantung,"Operasi, Kemoterapi",Metastasis ke Liver
COVID-19,TRUE,"Tifus, Depresi Mayor","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Migraine,TRUE,"Parkinson, Hemofilia, Serangan Jantung","Sumatriptan, Parasetamol",Gangguan Tidur
Gastritis,TRUE,"Migraine, Cacar Air, Influenza","Antasida, Omeprazole",Ulkus Lambung
Tuberkulosis,FALSE,"Stroke, Tuberkulosis, COVID-19","Rifampisin, Isoniazid",Gagal Paru
Campak,TRUE,"Osteoporosis, Hepatitis C","Vitamin A, Paracetamol",Ensefalitis
Parkinson,FALSE,"Hipertensi, Demam Berdarah","Levodopa, Pramipexole",Gangguan Gerak Berat
Osteoporosis,TRUE,Hemofilia,"Kalsium, Vitamin D",Fraktur Tulang
Campak,FALSE,"Kanker Paru-paru, Pneumonia, Malaria","Vitamin A, Paracetamol",Ensefalitis
Anemia,FALSE,Campak,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Diare Akut,FALSE,Gastritis,"Oralit, Loperamide",Dehidrasi Parah
Hepatitis C,FALSE,Migraine,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Alzheimer,TRUE,Diare Akut,"Donepezil, Memantine",Demensia Berat
Osteoporosis,TRUE,Cacar Air,"Kalsium, Vitamin D",Fraktur Tulang
COVID-19,FALSE,Bronkitis,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Asma,TRUE,"Artritis Reumatoid, Rubella, Depresi Mayor","Salbutamol, Budesonide",Gagal Napas
Hepatitis B,TRUE,"Campak, Parkinson","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Hepatitis B,TRUE,Skizofrenia,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Diare Akut,TRUE,"Epilepsi, Kanker Paru-paru, Migraine","Oralit, Loperamide",Dehidrasi Parah
Artritis Reumatoid,TRUE,"Bipolar, Influenza","NSAID, Metotreksat",Deformitas Sendi
Depresi Mayor,FALSE,Serangan Jantung,"SSRI, Psikoterapi",Bunuh Diri
Serangan Jantung,TRUE,Gagal Ginjal,"Aspirin, Nitrat",Gagal Jantung
Artritis Reumatoid,TRUE,Artritis Reumatoid,"NSAID, Metotreksat",Deformitas Sendi
Malaria,FALSE,Demam Berdarah,"Klorokuin, Artemisinin",Anemia Berat
Depresi Mayor,TRUE,"Pneumonia, Asma","SSRI, Psikoterapi",Bunuh Diri
Gagal Ginjal,FALSE,"COVID-19, Kanker Payudara","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Cacar Air,TRUE,"Kanker Prostat, Hipertensi","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Epilepsi,TRUE,Kanker Kolorektal,"Fenitoin, Valproat",Gangguan Kognitif
Tuberkulosis,FALSE,Skizofrenia,"Rifampisin, Isoniazid",Gagal Paru
Skizofrenia,TRUE,Depresi Mayor,"Risperidone, Olanzapine",Disabilitas Sosial
Depresi Mayor,FALSE,"Parkinson, Bipolar, Tifus","SSRI, Psikoterapi",Bunuh Diri
Asma,FALSE,"Hipertensi, Campak","Salbutamol, Budesonide",Gagal Napas
Gastritis,TRUE,"Skizofrenia, Asma, Artritis Reumatoid","Antasida, Omeprazole",Ulkus Lambung
Alzheimer,TRUE,"Asma, Anemia, Hipertensi","Donepezil, Memantine",Demensia Berat
Parkinson,FALSE,Hepatitis B,"Levodopa, Pramipexole",Gangguan Gerak Berat
Rubella,TRUE,"Pneumonia, Rubella, Kanker Payudara","Vaksinasi, Istirahat",Cacat Janin
Hepatitis B,TRUE,Hepatitis B,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Osteoporosis,FALSE,Parkinson,"Kalsium, Vitamin D",Fraktur Tulang
Hipertensi,TRUE,Kanker Kolorektal,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Demam Berdarah,TRUE,"Depresi Mayor, Asma","Rehidrasi, Paracetamol",Syok Dengue
Bipolar,TRUE,"Rubella, Epilepsi, Alzheimer","Lithium, Antidepresan",Depresi Kronis
Pneumonia,FALSE,"Kanker Kolorektal, Anemia, Hepatitis C","Azitromisin, Ceftriaxone",Sepsis
Serangan Jantung,TRUE,"Alzheimer, Cacar Air, Pneumonia","Aspirin, Nitrat",Gagal Jantung
COVID-19,TRUE,"Parkinson, Migraine","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Malaria,FALSE,Kanker Kolorektal,"Klorokuin, Artemisinin",Anemia Berat
Kanker Prostat,FALSE,"Hipertensi, Bronkitis, Gastritis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Hepatitis B,TRUE,"Diare Akut, Asma, Gagal Ginjal","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Influenza,FALSE,"Hepatitis B, Hepatitis C, Diabetes Mellitus","Oseltamivir, Paracetamol",Pneumonia
Migraine,TRUE,Artritis Reumatoid,"Sumatriptan, Parasetamol",Gangguan Tidur
Tuberkulosis,TRUE,Bipolar,"Rifampisin, Isoniazid",Gagal Paru
Epilepsi,FALSE,"Gastritis, Asma","Fenitoin, Valproat",Gangguan Kognitif
Kanker Kolorektal,FALSE,"COVID-19, Anemia, Campak","Operasi, Kemoterapi",Metastasis ke Liver
Gagal Ginjal,FALSE,"Osteoporosis, Hipertensi","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Kolorektal,FALSE,Campak,"Operasi, Kemoterapi",Metastasis ke Liver
Pneumonia,FALSE,"Tifus, Kanker Kolorektal","Azitromisin, Ceftriaxone",Sepsis
Malaria,TRUE,"Influenza, Hipertensi","Klorokuin, Artemisinin",Anemia Berat
Kanker Payudara,TRUE,Epilepsi,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Hemofilia,FALSE,Cacar Air,Transfusi Faktor VIII,Pendarahan Internal
Tifus,FALSE,Kanker Paru-paru,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Diare Akut,FALSE,"Bronkitis, Depresi Mayor","Oralit, Loperamide",Dehidrasi Parah
Stroke,TRUE,"Bipolar, Epilepsi, Kanker Payudara","Antikoagulan, Rehabilitasi",Kelumpuhan
Tuberkulosis,FALSE,Hipertensi,"Rifampisin, Isoniazid",Gagal Paru
Gastritis,TRUE,"Anemia, Epilepsi, Hepatitis B","Antasida, Omeprazole",Ulkus Lambung
COVID-19,TRUE,"Malaria, Asma","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Bronkitis,TRUE,"Hepatitis C, Bronkitis","Dextromethorphan, Amoksisilin",Pneumonia
Gastritis,TRUE,Malaria,"Antasida, Omeprazole",Ulkus Lambung
Tifus,FALSE,"Kanker Prostat, Bronkitis, Malaria","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Parkinson,TRUE,Bipolar,"Levodopa, Pramipexole",Gangguan Gerak Berat
Asma,FALSE,"Asma, Anemia","Salbutamol, Budesonide",Gagal Napas
Bronkitis,TRUE,Kanker Kolorektal,"Dextromethorphan, Amoksisilin",Pneumonia
Diabetes Mellitus,FALSE,"Parkinson, Campak, Kanker Prostat","Insulin, Metformin","Gagal Ginjal, Neuropati"
Cacar Air,TRUE,Diabetes Mellitus,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tifus,FALSE,Skizofrenia,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Hepatitis C,FALSE,"Campak, COVID-19, Parkinson","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Epilepsi,FALSE,Campak,"Fenitoin, Valproat",Gangguan Kognitif
Asma,TRUE,"Demam Berdarah, Hemofilia","Salbutamol, Budesonide",Gagal Napas
Pneumonia,TRUE,"Pneumonia, Gastritis, Depresi Mayor","Azitromisin, Ceftriaxone",Sepsis
Demam Berdarah,TRUE,Parkinson,"Rehidrasi, Paracetamol",Syok Dengue
Depresi Mayor,FALSE,"Demam Berdarah, Tifus, Bronkitis","SSRI, Psikoterapi",Bunuh Diri
Kanker Kolorektal,FALSE,Gastritis,"Operasi, Kemoterapi",Metastasis ke Liver
Diare Akut,TRUE,"Migraine, Hepatitis C, Rubella","Oralit, Loperamide",Dehidrasi Parah
Epilepsi,FALSE,"Artritis Reumatoid, Hepatitis B, Depresi Mayor","Fenitoin, Valproat",Gangguan Kognitif
Kanker Prostat,FALSE,Bronkitis,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Anemia,TRUE,"Kanker Kolorektal, Bipolar","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Osteoporosis,FALSE,Depresi Mayor,"Kalsium, Vitamin D",Fraktur Tulang
Kanker Kolorektal,TRUE,Epilepsi,"Operasi, Kemoterapi",Metastasis ke Liver
Asma,FALSE,"Migraine, Influenza, Hemofilia","Salbutamol, Budesonide",Gagal Napas
Gagal Ginjal,TRUE,"Parkinson, Influenza, Campak","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Alzheimer,TRUE,"Asma, Serangan Jantung, Hepatitis B","Donepezil, Memantine",Demensia Berat
Hepatitis C,FALSE,"Gastritis, Diare Akut","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Malaria,TRUE,Asma,"Klorokuin, Artemisinin",Anemia Berat
Migraine,TRUE,"Campak, Kanker Kolorektal","Sumatriptan, Parasetamol",Gangguan Tidur
Campak,FALSE,"Asma, Alzheimer, Hepatitis B","Vitamin A, Paracetamol",Ensefalitis
Asma,TRUE,"Depresi Mayor, Kanker Paru-paru","Salbutamol, Budesonide",Gagal Napas
Gagal Ginjal,TRUE,"Asma, Depresi Mayor, Rubella","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Tuberkulosis,FALSE,"Depresi Mayor, Bronkitis, Anemia","Rifampisin, Isoniazid",Gagal Paru
Osteoporosis,TRUE,"Rubella, Gastritis","Kalsium, Vitamin D",Fraktur Tulang
Kanker Prostat,FALSE,Bronkitis,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Pneumonia,FALSE,"Parkinson, Gagal Ginjal, Depresi Mayor","Azitromisin, Ceftriaxone",Sepsis
Malaria,TRUE,Osteoporosis,"Klorokuin, Artemisinin",Anemia Berat
Malaria,TRUE,"Kanker Prostat, Parkinson","Klorokuin, Artemisinin",Anemia Berat
Serangan Jantung,FALSE,"Rubella, Kanker Kolorektal","Aspirin, Nitrat",Gagal Jantung
Migraine,FALSE,"Osteoporosis, Tuberkulosis","Sumatriptan, Parasetamol",Gangguan Tidur
COVID-19,FALSE,"Gagal Ginjal, Campak, Demam Berdarah","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Bipolar,FALSE,Tuberkulosis,"Lithium, Antidepresan",Depresi Kronis
Osteoporosis,FALSE,"Gastritis, Influenza","Kalsium, Vitamin D",Fraktur Tulang
Serangan Jantung,FALSE,Tuberkulosis,"Aspirin, Nitrat",Gagal Jantung
Cacar Air,TRUE,"Hemofilia, Alzheimer","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hipertensi,FALSE,"Kanker Prostat, Diare Akut, Stroke","Amlodipine, Captopril","Stroke, Serangan Jantung"
Pneumonia,FALSE,Hepatitis B,"Azitromisin, Ceftriaxone",Sepsis
Cacar Air,FALSE,"Malaria, Campak, Demam Berdarah","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Cacar Air,TRUE,"Alzheimer, Gagal Ginjal, Malaria","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hipertensi,TRUE,Diare Akut,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Parkinson,TRUE,"Anemia, Kanker Kolorektal","Levodopa, Pramipexole",Gangguan Gerak Berat
Malaria,TRUE,Hipertensi,"Klorokuin, Artemisinin",Anemia Berat
Bipolar,FALSE,"Epilepsi, Kanker Payudara","Lithium, Antidepresan",Depresi Kronis
Kanker Kolorektal,FALSE,"Hepatitis B, Bipolar","Operasi, Kemoterapi",Metastasis ke Liver
Epilepsi,TRUE,"Osteoporosis, Parkinson, Hipertensi","Fenitoin, Valproat",Gangguan Kognitif
Rubella,FALSE,"Serangan Jantung, Rubella","Vaksinasi, Istirahat",Cacat Janin
Migraine,FALSE,Kanker Paru-paru,"Sumatriptan, Parasetamol",Gangguan Tidur
Bronkitis,TRUE,"Kanker Prostat, COVID-19, Bipolar","Dextromethorphan, Amoksisilin",Pneumonia
Demam Berdarah,TRUE,"Bipolar, Alzheimer","Rehidrasi, Paracetamol",Syok Dengue
Diabetes Mellitus,FALSE,"Kanker Kolorektal, Serangan Jantung","Insulin, Metformin","Gagal Ginjal, Neuropati"
Stroke,TRUE,"Demam Berdarah, Pneumonia, Influenza","Antikoagulan, Rehabilitasi",Kelumpuhan
Cacar Air,FALSE,"Hemofilia, Malaria, Hepatitis B","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hemofilia,TRUE,"Anemia, Hepatitis C, Gagal Ginjal",Transfusi Faktor VIII,Pendarahan Internal
Kanker Paru-paru,FALSE,"Hipertensi, Hepatitis B","Kemoterapi, Radioterapi",Metastasis ke Otak
Tifus,TRUE,Kanker Payudara,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Pneumonia,TRUE,"Kanker Prostat, Serangan Jantung","Azitromisin, Ceftriaxone",Sepsis
Kanker Paru-paru,TRUE,"Skizofrenia, Stroke","Kemoterapi, Radioterapi",Metastasis ke Otak
Alzheimer,FALSE,Alzheimer,"Donepezil, Memantine",Demensia Berat
Osteoporosis,TRUE,"Influenza, Hipertensi","Kalsium, Vitamin D",Fraktur Tulang
Gagal Ginjal,FALSE,"Diare Akut, Bronkitis, Kanker Payudara","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Artritis Reumatoid,FALSE,"Pneumonia, COVID-19","NSAID, Metotreksat",Deformitas Sendi
Gagal Ginjal,FALSE,Kanker Payudara,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Artritis Reumatoid,FALSE,Hepatitis C,"NSAID, Metotreksat",Deformitas Sendi
Cacar Air,FALSE,Kanker Prostat,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Parkinson,FALSE,Influenza,"Levodopa, Pramipexole",Gangguan Gerak Berat
Osteoporosis,TRUE,Tifus,"Kalsium, Vitamin D",Fraktur Tulang
Malaria,TRUE,Epilepsi,"Klorokuin, Artemisinin",Anemia Berat
Influenza,TRUE,"Migraine, Anemia, Kanker Prostat","Oseltamivir, Paracetamol",Pneumonia
Rubella,TRUE,Hemofilia,"Vaksinasi, Istirahat",Cacat Janin
Hemofilia,FALSE,"COVID-19, Hemofilia, Hipertensi",Transfusi Faktor VIII,Pendarahan Internal
Epilepsi,TRUE,Campak,"Fenitoin, Valproat",Gangguan Kognitif
Hipertensi,TRUE,Depresi Mayor,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Migraine,FALSE,Kanker Prostat,"Sumatriptan, Parasetamol",Gangguan Tidur
Hepatitis B,TRUE,Diare Akut,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Influenza,TRUE,"Hemofilia, Cacar Air","Oseltamivir, Paracetamol",Pneumonia
Bipolar,TRUE,"Tifus, Bronkitis, Malaria","Lithium, Antidepresan",Depresi Kronis
Hepatitis B,FALSE,"Diabetes Mellitus, Rubella, Stroke","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Bipolar,TRUE,"Bronkitis, Hepatitis C, Pneumonia","Lithium, Antidepresan",Depresi Kronis
Kanker Kolorektal,TRUE,Hepatitis B,"Operasi, Kemoterapi",Metastasis ke Liver
Kanker Payudara,FALSE,"Asma, Rubella","Kemoterapi, Mastektomi",Metastasis ke Tulang
Malaria,FALSE,Bronkitis,"Klorokuin, Artemisinin",Anemia Berat
Campak,TRUE,"Kanker Payudara, Hepatitis C","Vitamin A, Paracetamol",Ensefalitis
Skizofrenia,TRUE,Serangan Jantung,"Risperidone, Olanzapine",Disabilitas Sosial
Demam Berdarah,TRUE,Anemia,"Rehidrasi, Paracetamol",Syok Dengue
Gagal Ginjal,FALSE,"Pneumonia, Diare Akut, Malaria","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Paru-paru,FALSE,"Artritis Reumatoid, Campak, Gagal Ginjal","Kemoterapi, Radioterapi",Metastasis ke Otak
Campak,FALSE,"Gastritis, Asma, Hepatitis B","Vitamin A, Paracetamol",Ensefalitis
Influenza,FALSE,"Diabetes Mellitus, Parkinson, Tuberkulosis","Oseltamivir, Paracetamol",Pneumonia
Influenza,TRUE,"Kanker Kolorektal, Influenza","Oseltamivir, Paracetamol",Pneumonia
Hemofilia,FALSE,"Tuberkulosis, Demam Berdarah, Campak",Transfusi Faktor VIII,Pendarahan Internal
Osteoporosis,TRUE,"Diare Akut, Parkinson, Bronkitis","Kalsium, Vitamin D",Fraktur Tulang
Alzheimer,FALSE,"Tuberkulosis, Kanker Prostat","Donepezil, Memantine",Demensia Berat
Alzheimer,FALSE,"Gastritis, Hepatitis B","Donepezil, Memantine",Demensia Berat
Pneumonia,TRUE,"Parkinson, Skizofrenia, Hipertensi","Azitromisin, Ceftriaxone",Sepsis
Parkinson,FALSE,"Kanker Paru-paru, Gagal Ginjal, Epilepsi","Levodopa, Pramipexole",Gangguan Gerak Berat
Demam Berdarah,TRUE,"Bronkitis, Kanker Prostat, Gagal Ginjal","Rehidrasi, Paracetamol",Syok Dengue
Osteoporosis,TRUE,Kanker Payudara,"Kalsium, Vitamin D",Fraktur Tulang
Kanker Kolorektal,FALSE,"Bipolar, Diare Akut, Gastritis","Operasi, Kemoterapi",Metastasis ke Liver
Malaria,FALSE,"Hepatitis C, Demam Berdarah, COVID-19","Klorokuin, Artemisinin",Anemia Berat
Hepatitis C,FALSE,Kanker Prostat,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Cacar Air,FALSE,"Rubella, Bipolar","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Serangan Jantung,FALSE,"Campak, Hepatitis B, Rubella","Aspirin, Nitrat",Gagal Jantung
Rubella,FALSE,"COVID-19, Hepatitis C","Vaksinasi, Istirahat",Cacat Janin
Malaria,FALSE,Malaria,"Klorokuin, Artemisinin",Anemia Berat
Migraine,FALSE,Asma,"Sumatriptan, Parasetamol",Gangguan Tidur
Tifus,TRUE,"Osteoporosis, Tifus, Parkinson","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Epilepsi,TRUE,"Bronkitis, Rubella","Fenitoin, Valproat",Gangguan Kognitif
Artritis Reumatoid,TRUE,"Epilepsi, Artritis Reumatoid, Diabetes Mellitus","NSAID, Metotreksat",Deformitas Sendi
Migraine,FALSE,Anemia,"Sumatriptan, Parasetamol",Gangguan Tidur
Influenza,FALSE,Cacar Air,"Oseltamivir, Paracetamol",Pneumonia
Influenza,FALSE,Hepatitis C,"Oseltamivir, Paracetamol",Pneumonia
Tuberkulosis,FALSE,"Hepatitis B, Campak","Rifampisin, Isoniazid",Gagal Paru
Malaria,TRUE,"Campak, Migraine","Klorokuin, Artemisinin",Anemia Berat
Hepatitis C,TRUE,"Osteoporosis, Gastritis, Campak","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Payudara,FALSE,Cacar Air,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Parkinson,FALSE,"Migraine, Epilepsi, Cacar Air","Levodopa, Pramipexole",Gangguan Gerak Berat
Hepatitis B,FALSE,Gastritis,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Osteoporosis,TRUE,"Osteoporosis, Kanker Payudara, Bronkitis","Kalsium, Vitamin D",Fraktur Tulang
Artritis Reumatoid,TRUE,"Artritis Reumatoid, Migraine","NSAID, Metotreksat",Deformitas Sendi
Influenza,FALSE,"Kanker Kolorektal, Serangan Jantung, Gastritis","Oseltamivir, Paracetamol",Pneumonia
Migraine,FALSE,"Parkinson, Kanker Payudara","Sumatriptan, Parasetamol",Gangguan Tidur
Kanker Kolorektal,TRUE,"Stroke, Campak","Operasi, Kemoterapi",Metastasis ke Liver
Pneumonia,FALSE,COVID-19,"Azitromisin, Ceftriaxone",Sepsis
Bipolar,FALSE,"Hepatitis B, Malaria","Lithium, Antidepresan",Depresi Kronis
Campak,TRUE,Migraine,"Vitamin A, Paracetamol",Ensefalitis
Hepatitis C,FALSE,Epilepsi,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Parkinson,FALSE,"Serangan Jantung, Hipertensi","Levodopa, Pramipexole",Gangguan Gerak Berat
Epilepsi,FALSE,Diare Akut,"Fenitoin, Valproat",Gangguan Kognitif
Kanker Paru-paru,TRUE,Asma,"Kemoterapi, Radioterapi",Metastasis ke Otak
Hemofilia,FALSE,"Tifus, COVID-19, Diare Akut",Transfusi Faktor VIII,Pendarahan Internal
Migraine,FALSE,"Depresi Mayor, Malaria","Sumatriptan, Parasetamol",Gangguan Tidur
Diare Akut,TRUE,"Gastritis, Diabetes Mellitus, Diare Akut","Oralit, Loperamide",Dehidrasi Parah
Demam Berdarah,FALSE,Malaria,"Rehidrasi, Paracetamol",Syok Dengue
Hepatitis B,FALSE,"Kanker Prostat, Hipertensi, Serangan Jantung","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Bronkitis,TRUE,Asma,"Dextromethorphan, Amoksisilin",Pneumonia
Kanker Payudara,TRUE,"Hepatitis B, Asma, Kanker Payudara","Kemoterapi, Mastektomi",Metastasis ke Tulang
Migraine,FALSE,"Osteoporosis, Hemofilia, Tifus","Sumatriptan, Parasetamol",Gangguan Tidur
Influenza,FALSE,"Kanker Kolorektal, Cacar Air, Hepatitis B","Oseltamivir, Paracetamol",Pneumonia
COVID-19,FALSE,Serangan Jantung,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Tifus,TRUE,"Kanker Prostat, Kanker Paru-paru, Epilepsi","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Artritis Reumatoid,FALSE,"Parkinson, Osteoporosis","NSAID, Metotreksat",Deformitas Sendi
Depresi Mayor,FALSE,Stroke,"SSRI, Psikoterapi",Bunuh Diri
Demam Berdarah,TRUE,"Migraine, Depresi Mayor, Bipolar","Rehidrasi, Paracetamol",Syok Dengue
Demam Berdarah,TRUE,Cacar Air,"Rehidrasi, Paracetamol",Syok Dengue
Kanker Paru-paru,FALSE,"Diare Akut, Pneumonia","Kemoterapi, Radioterapi",Metastasis ke Otak
Alzheimer,FALSE,"Serangan Jantung, Alzheimer","Donepezil, Memantine",Demensia Berat
Asma,TRUE,Diabetes Mellitus,"Salbutamol, Budesonide",Gagal Napas
Diare Akut,FALSE,"Hipertensi, Gagal Ginjal, Anemia","Oralit, Loperamide",Dehidrasi Parah
